--------------------------
Best 20 scores are:

Specs,Score
4152,22.387763
4153,22.251489
4159,4159  12.740366
4149,4149  11.272451
4165,10.558540
4162,9.511274
8,6.157609
20,5.512545
9,5.406510
35,5.099173
1577,4.835931
10,4.826089
1936,4.732623
3866,4.642462
37,4.639029
51,4.601916
54,4.511243
1564,4.435060
47,4.386419
1572,4.251720
--------------------------
All scores are:

Specs,Score
0,0.07363136504900783
1,0.040713813615333744
2,0.040713813615333744
3,2.7280625986681755
4,1.727855901492101
5,1.7250136243519099
6,0.04071381361533375
7,2.992028300645871
8,6.157608753471044
9,5.4065100665178765
10,4.826089324440562
11,1.00997752808989
12,2.0073559028492647
13,0.1231285017881388
14,0.12493578683636161
15,2.5056976255594505
16,0.7927592299807242
17,0.3288147879666555
18,0.040713813615332675
19,0.040713813615333716
20,5.512544828021817
21,0.02395481638722868
22,0.040713813615333806
23,0.040713813615333834
24,0.061045584006056995
25,0.04071381361533382
26,0.040713813615333785
27,0.058102063692758
28,0.040713813615333695
29,0.04071381361533392
30,0.04071381361533378
31,0.17310523895564567
32,0.040713813615333744
33,2.2483521405886133
34,2.4382878200751876
35,5.099173374724498
36,2.442362499131966
37,4.639029366285702
38,2.0781764378291405
39,0.040713813615333924
40,0.049077508632975844
41,0.07038217481428005
42,0.0407138136153338
43,0.04071381361533384
44,2.839262633492142
45,3.431107335033908
46,0.040713813615333834
47,4.3864190004413075
48,2.5542365670245952
49,4.006018616156073
50,0.04071381361533382
51,4.601915798724912
52,0.04071381361533462
53,0.04071381361533387
54,4.511243181955921
55,4.088238038485443
56,0.040713813615333695
57,3.635718796722725
58,0.08107978171719436
59,0.04071381361533373
60,0.10405403209233627
61,0.06640407977113505
62,0.17153437040532923
63,0.057405418236493436
64,0.8254875540804394
65,1.3570090826691608
66,0.032125282626953744
67,0.04071381361533371
68,0.9636760003446444
69,0.04071381361533374
70,0.04545654476270649
71,0.04071381361533377
72,0.04071381361533371
73,1.9700369564042297
74,3.867639925406723
75,0.04071381361533364
76,0.13753643086199485
77,0.3624690582117545
78,0.4993320479781721
79,0.8988011687568622
80,0.6792685554173878
81,0.26245961936359224
82,0.044262224351318935
83,0.04071679669592328
84,0.04100524983638426
85,0.057109391445046176
86,0.040855677872511535
87,0.04777556410139619
88,0.0501396412502156
89,0.05279982827625442
90,0.020390646115788346
91,0.017470093620939636
92,0.020643886698824068
93,0.04638187578635797
94,0.022904563119822825
95,0.018591440250673368
96,0.04413876291531717
97,0.04071381361533377
98,0.049767752990742674
99,0.04454075892033495
100,0.04102229094612859
101,0.04120434735511856
102,0.05587374581679267
103,0.04103314245940321
104,0.04833124343626305
105,0.05104564530166734
106,0.056939244890939295
107,0.023259223639641523
108,0.020422394518191705
109,0.02353640693301985
110,0.04589889628515719
111,0.024898608835716613
112,0.02127259183835294
113,0.04555079744588139
114,0.04071930613645002
115,0.05105715924820245
116,0.081051421019605
117,0.04241731499791683
118,0.05076382327771012
119,0.18161002495004855
120,0.041423708962035496
121,0.0797138924502447
122,0.09289483765915373
123,0.14389929567855267
124,0.03352856480502822
125,0.020454543533108813
126,0.03330764933702709
127,0.08369243743719369
128,0.06647841063117878
129,0.03292740335824856
130,0.07299722887554516
131,0.040713813615333674
132,0.07845232528342881
133,0.04612120778721529
134,0.04182953425030243
135,0.04326936475813147
136,0.047672886990259164
137,0.041023978945217456
138,0.046357555087986634
139,0.046010060010721596
140,0.04601347047757701
141,0.039606464258646966
142,0.03735806188022135
143,0.039839905102698414
144,0.04588607797632976
145,0.042574258768142734
146,0.037977276589427456
147,0.04445870668085003
148,0.04071381361533383
149,0.04528238504445311
150,0.046233774865818894
151,0.04088058564730949
152,0.04192679491549594
153,0.06050002804720424
154,0.04087370074539187
155,0.047739504441185236
156,0.05022222316452488
157,0.056491030183218306
158,0.028864893612939254
159,0.025509165001106313
160,0.02890256694556841
161,0.04779087218743125
162,0.03327904018389148
163,0.027392825370418088
164,0.045744874662512335
165,0.04071381361533379
166,0.049070631087304216
167,0.047568479786203724
168,0.04133065909266372
169,0.04263668406166409
170,0.06179155149924376
171,0.04160114930275589
172,0.04943559698232664
173,0.05245140784296583
174,0.06398807113182374
175,0.03055355954742471
176,0.02724319144629502
177,0.03068086904613066
178,0.047769957691024795
179,0.03424503228636281
180,0.02886746858369727
181,0.047353994584147616
182,0.04118021266497569
183,0.051124742015257726
184,0.12344694426210116
185,0.04123429667619776
186,0.04416035518506446
187,0.45324733679937396
188,0.0411132357487352
189,0.18758401829599491
190,0.262603355664312
191,0.3893516680300334
192,1.4883159492012268
193,3.488625536462391
194,1.5423229981586564
195,0.20355209575917027
196,1.2769993321699127
197,3.3359577070425432
198,0.12382053277178591
199,0.04071381361533372
200,0.29181084874526125
201,0.1318441559483986
202,0.04248817301726142
203,0.046481534338905006
204,0.46089384365142794
205,0.04331507085583187
206,0.21222354449229308
207,0.30067747685945123
208,0.4620359746080377
209,1.2476212957680202
210,3.0732149261166533
211,1.2345747278495884
212,0.20318095065617348
213,1.1823608631537081
214,2.9836374185701993
215,0.1637483616209115
216,0.04230187282611714
217,0.33160391023392144
218,0.07946169825167661
219,0.04155124949634065
220,0.05020898685099677
221,0.2682662853265469
222,0.042999525813682965
223,0.14187357811104528
224,0.20787584845623983
225,0.4555757305072357
226,0.04264656356533781
227,0.03110644918364235
228,0.0555971726425103
229,0.0746923672553442
230,0.07725283735690523
231,0.037423137304691954
232,0.07708505412647688
233,0.04149227778533305
234,0.20294470402850695
235,0.06721151009328115
236,0.04317322295151315
237,0.04985397547760807
238,0.11578629501475443
239,0.0445730606991661
240,0.06810622958143688
241,0.0761048066499663
242,0.12192742066066915
243,0.04012596938213006
244,0.03186687757109955
245,0.04026553907753465
246,0.0637747526780655
